numeroPedido,clienteId,fechaEntrega,estado,zonaEntrega,requiereRefrigeracion
P001,CLI-123,2026-12-10,PENDIENTE,ZONA1,true
P007,CLI-123,2026-12-20,PENDIENTE,ZONA1,false
P008,CLI-999,2026-12-20,CONFIRMADO,ZONA5,true
P009,CLI-999,2026-12-20,ENTREGADO,ZONA5,false
P010,CLI-123,2026-12-20,PENDIENTE,ZONA1,true
P012,CLI-999,2026-12-20,CONFIRMADO,ZONA5,true
P015,CLI-123,2026-12-20,PENDIENTE,ZONA1,false
P002,CLI-999,2020-01-01,CONFIRMADO,ZONA5,false
P011,CLI-123,2024-01-01,PENDIENTE,ZONA1,true
P003,CLIENTE_INEXISTENTE,2026-12-15,ENTREGADO,ZONA1,true
P004,CLI-123,2026-12-20,ESTADO_INVALIDO,ZONA1,false
P005,CLI-123,2026-12-20,PENDIENTE,ZONA_INEXISTENTE,true
P006,CLI-123,2026-12-20,PENDIENTE,ZONA5,true
P001,CLI-123,2026-12-20,PENDIENTE,ZONA1,false
P013,CLI-123,2026-12-20,PENDIENTE,ZONA5,true
P014,CLI-123,2026-12-20,PENDIENTE,ZONA5,true
